"PUNTO DE INFORMACIÓN","MES","AÑO","PAIS DE PROCEDENCIA","CIUDAD DE PROCEDENCIA","CIUDAD DE DESTINO 1","CIUDAD DE DESTINO 2","CIUDAD DE DESTINO 3","CIUDAD DE DESTINO 4","CIUDAD DE DESTINO 5","SEXO","MOTIVO DEL VIAJE","TIEMPO DE PERMANENCIA EN DIAS","TIPO ALOJAMIENTO","TIPO TRANSPORTE","PRESUPUESTO","RESULTADO SATISFACCIÓN","CANTIDAD DE VIAJEROS"
"Puente de Boyacá","4","2,023","Colombiano","Bogotá","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Bus","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Bogotá","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Bogotá","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","8","4"
"Puente de Boyacá","4","2,023","Colombiano","Quindío","Sutamarchán","Tunja","Villa de Leyva","NA","NA","Masculino","Turismo Cultural.","1","Pasadía","Vehículo propio.","hasta $ 300.000 COP.","9","2"
"Puente de Boyacá","4","2,023","Colombiano","Santander","Moniquirá","Villa de Leyva","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","2"
"Aquitania","4","2,023","Colombiano","Bogotá","Aquitania","Cuítiva","Iza","Sogamoso","Tota","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","4","2,023","Colombiano","Bogotá","Aquitania","Tota","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","4","2,023","Colombiano","Valle Del Cauca","Aquitania","Tota","Tunja","Villa De Leyva","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Antioquía","Ventaquemada","NA","NA","NA","NA","Masculino","Turismo de Bienestar.","5","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Monumento Pantano de Vargas","4","2,023","Colombiano","Bolívar","Paipa","Tota","Tunja","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Bus","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Atlántico","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","4","2,023","Colombiano","Magdalena","Tota","Villa de Leyva","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Caquetá","Sutamarchán","Villa de Leyva","NA","NA","NA","Masculino","Turismo de Bienestar.","4","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","2"
"Puente de Boyacá","4","2,023","Colombiano","Tolima","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","2"
"Puente de Boyacá","4","2,023","Colombiano","Huila","Ráquira","Sáchica","Villa de Leyva","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Meta","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","2"
"Tunja","4","2,023","Colombiano","Casanare","Tunja","Sogamoso","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Cundinamarca","Ventaquemada","NA","NA","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Bus","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Antioquía","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Monumento Pantano de Vargas","4","2,023","Colombiano","Valle Del Cauca","Duitama","Iza","Paipa","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","8","4"
"Monumento Pantano de Vargas","4","2,023","Colombiano","Bogotá","Monguí","Sogamoso","Paipa","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","8","4"
"Monumento Pantano de Vargas","4","2,023","Colombiano","Valle Del Cauca","Monguí","Nobsa","Paipa","Ráquira","Sáchica","Masculino","Turismo Cultural.","2","Posada turística","Bus","Entre $ 600.000 a $ 1.000.000 COP.","9","35"
"Puente de Boyacá","4","2,023","Colombiano","Antioquía","Chiquinquirá","Iza","Paipa","Sáchica","Sogamoso","Masculino","Turismo Cultural.","3","Casa/cabaña de vacaciones arrendada.","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Santander","Moniquirá","Tunja","Villa de Leyva","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Alquiler de vehículo.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Tunja","4","2,023","Colombiano","Norte De Santander","Tunja","Villa de Leyva","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Monumento Pantano de Vargas","4","2,023","Colombiano","Bogotá","Duitama","Iza","Monguí","Paipa","Nobsa","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Bogotá","Sutamarchán","Villa de Leyva","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Valle Del Cauca","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Bus","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Santander","Moniquirá","Tunja","Villa de Leyva","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Bus","Entre $ 1.000.000 a $ 3.000.000 COP.","8","4"
"Tunja","4","2,023","Colombiano","Valle Del Cauca","Nobsa","Duitama","Paipa","Villa De Leyva","NA","Masculino","Turismo de Naturaleza.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","2"
