PUNTO DE INFORMACIÓN,MES,AÑO,PAIS DE PROCEDENCIA,CIUDAD DE PROCEDENCIA,CIUDAD DE DESTINO 1,CIUDAD DE DESTINO 2,CIUDAD DE DESTINO 3,CIUDAD DE DESTINO 4,CIUDAD DE DESTINO 5,SEXO,MOTIVO DEL VIAJE,TIEMPO DE PERMANENCIA EN DIAS,TIPO ALOJAMIENTO,TIPO TRANSPORTE,PRESUPUESTO,RESULTADO SATISFACCIÓN,CANTIDAD DE VIAJEROS
Puente de Boyacá,4,"2,023",Colombiano,Meta,Villa de Leyva,,,,,Masculino,Turismo de Naturaleza.,3.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,2.0
Puente de Boyacá,4,"2,023",Colombiano,Bogotá,Villa de Leyva,,,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,2.0
Puente de Boyacá,4,"2,023",Colombiano,Bogotá,Villa de Leyva,,,,,Masculino,Turismo Cultural.,2.0,Hotel,Bus,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Puente de Boyacá,4,"2,023",Colombiano,Bogotá,Villa de Leyva,,,,,Masculino,Turismo Cultural.,3.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Puente de Boyacá,4,"2,023",Colombiano,Bogotá,Villa de Leyva,,,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,8,4.0
Puente de Boyacá,4,"2,023",Colombiano,Quindío,Sutamarchán,Tunja,Villa de Leyva,,,Masculino,Turismo Cultural.,1.0,Pasadía,Vehículo propio.,hasta $ 300.000 COP.,9,2.0
Puente de Boyacá,4,"2,023",Colombiano,Santander,Moniquirá,Villa de Leyva,,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,2.0
Aquitania,4,"2,023",Colombiano,Bogotá,Aquitania,Cuítiva,Iza,Sogamoso,Tota,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Aquitania,4,"2,023",Colombiano,Bogotá,Aquitania,Tota,,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Aquitania,4,"2,023",Colombiano,Valle Del Cauca,Aquitania,Tota,Tunja,Villa De Leyva,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Puente de Boyacá,4,"2,023",Colombiano,Antioquía,Ventaquemada,,,,,Masculino,Turismo de Bienestar.,5.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Monumento Pantano de Vargas,4,"2,023",Colombiano,Bolívar,Paipa,Tota,Tunja,,,Masculino,Turismo Cultural.,3.0,Hotel,Bus,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Puente de Boyacá,4,"2,023",Colombiano,Atlántico,Villa de Leyva,,,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Aquitania,4,"2,023",Colombiano,Magdalena,Tota,Villa de Leyva,,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Puente de Boyacá,4,"2,023",Colombiano,Caquetá,Sutamarchán,Villa de Leyva,,,,Masculino,Turismo de Bienestar.,4.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,2.0
Puente de Boyacá,4,"2,023",Colombiano,Tolima,Villa de Leyva,,,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,2.0
Puente de Boyacá,4,"2,023",Colombiano,Huila,Ráquira,Sáchica,Villa de Leyva,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
